email_id,stock_mentions_wizardlm2:7b,stock_mentions_mistral,summary_wizardlm2:7b,summary_mistral
kean-s/discussion_threads/64.,True,False,"The email discusses a presentation on the performance of mutual funds and potential reallocation of assets based on recent market data, benchmarks, and the current investment strategy.","Email discussion among Gordon Weil, Dave Marquart, and Richard Tabors."
geaccone-t/inbox/183.,True,False,"Karl is confirming Enron's EOTT's projection for 2002 Net Income and outlines the requirement for this figure in relation to the 2002 Plan process, instructs to contact John if necessary due to his absence next week, and requests an acknowledgment of email receipt due to recent internet issues.",Discussion about EOTT's 2002 Net Income projection for Enron's 2002 Plan process
dasovich-j/notes_inbox/11951.,True,False,"This email appears to contain a PDF attachment labeled 'Der Staat BURRITO,' which may be a satirical or metaphorical reference to a company or entity, possibly in relation to financial or state affairs. The subject matter of the email's body text is not visible but can be inferred from the attachment name.",Email contains a PDF document titled 'Der Staat BURRITO'. Subject matter appears to involve potential government-related documentation related to 'Burrito'.
taylor-m/online_trading/63.,True,False,"Sandra Hrna is following up with Louise Kitchen and David G Mally regarding the omission of tax language in the general terms and conditions (GTCs) for coal and power products to be sold via Enron Online, and instructs them to add this language before going live. She also mentions that Mark Taylor sent all final GTCs on August 4th-5th, but did not receive necessary language in time as per a previous meeting's discussion.","Discussion about General Terms and Conditions (GTC) for products sold via Enron Online, specifically regarding the inclusion of tax language."
cash-m/daishowa/1.,True,False,"Mark is updating Michelle on the deal's progress, potential employee shifts, legal risks including Quebec pension issues, and provides a memo for reference. He offers further assistance if needed.",Discussion of a business deal involving possible employee relocation and pension issues in Quebec
shackleton-s/all_documents/34.,False,True,The email discusses a DAPSA deal from the London office and inquires about handling it similarly to previous instances.,"Receipt of a DAPSA deal from the London office, query about handling procedure"
kean-s/discussion_threads/27.,True,False,"Joe Hartsoe is instructing an associate to handle a sensitive matter related to a recent stock market transaction and to provide feedback on the outcome, with specific mention of 'our position' which likely refers to share ownership or trading positions.",Request for Joe Hartsoe to manage an undisclosed task
lavorato-j/sent_items/267.,True,False,"Stinson Gibner is discussing the performance of different trading strategies, specifically 'no roll,' 'roll same position,' and 'fill gap' for the second last day before quarter-end in comparison to the last day, and suggests further analysis on the impact of transaction costs and quarterly earning volatility.","Enron employee discussing financial simulations, possibly related to trading strategies without immediate reference to specific stock tickers or prices"
kean-s/calendar/untitled/5.,True,False,"Discussion about meeting with Cliff Baxter to review quarterly performance and investment strategy, including a mention of a specific mutual fund and its recent gains.",Meeting appointment with Cliff Baxter
dasovich-j/notes_inbox/1054.,False,True,"The summary of the news update includes information about venture capital funding, personnel changes, and corrections related to recent investments and executive appointments in various companies. It also highlights the opening of a new $100 million early-stage insurance fund by Securitas Capital, the appointment of Leo Hindery Jr. as a venture partner at Allegis Capital, and a correction for the name of the CEO at How2TV. Additionally, it announces the 'Technology Outlook' conference scheduled for December 4 & 5, 2000 at the San Francisco Airport Marriott, focusing on pervasive computing and its impact on various technologies and applications.",Daily VentureWire email summarizing business news for startups in technology sector
watson-k/e_mail_bin/582.,True,False,"The email is a subscription notice from PowerMarketers.com, inviting Kimberly Watson of Enron to edit her interests or unsubscribe, and includes links to manage her subscription and view the privacy policy.",Email is an invitation to visit a subscription center for editing interests or unsubscribing from PowerMarketers.com communications.
shackleton-s/all_documents/11949.,False,True,"Sara Shackleton is responding to a request from Shonnie Daniel for guidelines on credit approval, transaction size, and internal approval processes for traders, with specific reference to Enron North America Corp.'s operations. She mentions the existence of existing guidelines for some foreign offices and is working on additional ones for Argentina. Sara also indicates that there are issues unique to foreign offices, and she offers to help further.",Email discussing internal trading guidelines and credit approval processes
ruscitti-k/_sent_mail/113.,False,True,The sender is informing the recipient that certain items or information are not available as they have already been checked and found to be absent.,Checking for availability of certain shares
geaccone-t/inbox/410.,False,True,"The email instructs to send a financial plan (Wessex 2002 Plan) to Jan and provides Michele Denby with IBIT figures for EGS Companies, tying these figures to net income for ETS and referencing a previously sent amount ($397.2), likely in the context of corporate finances.",Sending financial documents related to Wessex 2002 Plan and IBIT for 3rd CE EGS Companies.
kaminski-v/all_documents/2015.,True,False,"Jeff Wesley is providing an update on a potential hire, Lawrence, who has experience with HSBC and has contacted the Chief Investment Officer of the San Diego Pension Fund. He suggests that Lawrence might not be the best fit but is open to assisting in his recruitment if Vince is interested, emphasizing his own good relationship with Lawrence. Jeff also mentions he will contact Alec in London regarding Howard Haughton and expresses a personal liking for Lawrence's appearance.",Email discussing potential job candidate (Lawrence) with financial background and ongoing recruitment process
shackleton-s/all_documents/3064.,False,True,"John is updating Darren on the status of ISDA Master Agreements that Enron Japan Corp. is in the process of finalizing with potential counterparties, including Mitsui Marine and Fire Insurance Co., The Industrial Bank of Japan, and Sanwa Bank Ltd. He confirms that there are no current brokerage arrangements involving Enron Japan Corp. but that Jonathan Whitehead might provide insight on future plans.",Discussion regarding brokerage and ISDA agreements for financial trades
kaminski-v/discussion_threads/2682.,True,False,"Jeff Wesley is providing updates on a potential hire, Lawrence, who has experience with HSBC and is being considered by another company (Williams) for a role. He also informs that he introduced 'Howard Haughton' to Enron UK and plans to contact Alec in London about this. The email mentions a connection to the Chief Investment Officer of the San Diego Pension Fund and expresses Jeff's personal opinion about Lawrence's appearance.","Email discusses potential job candidate (Lawrence) with banking and online experience, being considered for a position by Jeff Wesley's competitor, and mentions a phone call to Alec in London."
